S. No.,Year,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
178,2003,Dhule Region,Nandurbar,3281,12,207,167,129,2,16,0,88,0,8,1,13,2,0,64,0,53,96,208,184,0
179,2003,Aurangabad Region,Aurangabad,20762,3126,28,1934,632,1,1,0,1978,672,9,27,22,8,0,352,38,424,625,422,13,0
180,2003,Aurangabad Region,Jalna,7541,328,36,287,298,0,0,0,120,0,1,2,1,3,0,69,0,107,189,374,198,0
181,2003,Aurangabad Region,Beed,5240,50,368,308,373,0,0,0,252,0,0,2,0,0,0,71,3,51,233,96,61,0
182,2003,Latur Region,Latur,5147,127,1059,555,269,0,25,0,411,0,4,0,2,2,4,76,0,68,460,134,49,0
183,2003,Latur Region,Osmanabad,2545,7,230,121,100,0,22,0,215,0,3,0,0,0,0,33,0,142,106,51,73,2
184,2003,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2003,Nanded Region,Nanded,7100,150,716,610,382,0,0,0,1180,0,0,0,0,10,1,168,0,68,0,212,78,0
186,2003,Nanded Region,Parbhani,4284,10,465,209,195,0,0,0,474,0,0,0,0,21,0,38,2,35,47,90,87,3
187,2003,Nanded Region,Hingoli,2245,15,125,122,100,0,0,0,178,0,6,0,4,14,0,18,1,115,27,221,81,0
188,2003,Amrawati Region,Amrawati,11659,1025,2882,657,162,2,71,0,997,0,10,2,3,3,0,136,1,92,342,458,198,1
189,2003,Amrawati Region,Buldhana,9059,121,1134,336,263,0,101,0,688,0,0,1,13,31,0,106,1,133,248,281,106,1
190,2003,Amrawati Region,Yawatmal,7241,414,1257,469,277,0,96,0,880,0,5,3,0,20,41,138,0,103,240,195,163,2
191,2003,Amrawati Region,Akola,6122,408,2065,514,120,0,50,0,565,14,0,2,0,14,0,90,1,84,194,71,44,0
192,2003,Amrawati Region,Washim,3222,37,406,149,112,1,22,0,423,0,0,0,0,7,0,27,1,37,119,164,89,1
193,2003,Nagpur(U) Region,Nagpur,27410,5871,12019,4839,629,0,39,0,508,0,1,42,290,15,457,726,11,476,683,191,84,28
194,2003,Nagpur(U) Region,Wardha,5087,353,1072,196,88,0,3,0,285,0,5,1,0,0,0,7,0,41,140,56,60,1
195,2003,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2003,Nagpur(R) Region,Nagpur,3749,129,598,98,55,0,8,0,95,0,0,0,54,0,33,49,0,147,26,138,61,1
197,2003,Nagpur(R) Region,Gadchiroli,2255,231,40,65,41,0,11,0,37,0,0,0,0,8,0,11,0,21,6,50,22,0
198,2003,Nagpur(R) Region,Chandrapur,10472,1015,1993,857,245,5,87,0,356,0,11,0,2,25,10,506,0,171,257,184,125,24
199,2003,Nagpur(R) Region,Gondia,4073,304,630,165,57,0,20,0,25,0,0,1,0,3,0,46,0,46,25,88,70,0
200,2003,Nagpur(R) Region,Bhandara,4299,40,983,120,68,2,30,0,86,0,0,0,0,2,1,32,0,31,45,193,139,6
201,2004,Greater Mumbai,Mumbai(C),13306,4451,5,11046,612,0,953,0,0,231,233,0,52,42,1,229,0,543,455,0,1,87
202,2004,Greater Mumbai,Mumbai(W),23959,10566,0,16226,519,0,801,,5320,0,194,286,27,52,0,24,1,189,2235,9,0,40
