S. No.,Year,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
620,2012,Pune Region,Baramati,16841,484,0,2510,119,0,0,26,7,0,35,31,16,6,0,325,30,865,204,1043,468,89
621,2012,Pune Region,Akluj,13678,0,0,1041,207,0,0,0,37,0,1,15,3,7,0,179,0,477,415,1116,314,105
622,2012,Nashik Region,Nashik,57267,14095,293,11735,1775,0,14,165,857,0,168,42,0,71,2,493,109,3182,645,4895,740,269
623,2012,Nashik Region,Ahmednagar,23467,5191,1171,2649,636,0,2,94,0,0,7,13,4,19,1,303,27,953,387,1439,263,80
624,2012,Nashik Region,Srirampur,34878,662,62,3223,538,0,0,46,63,0,30,70,3,12,27,175,54,930,662,1511,725,127
625,2012,Nashik Region,Malegaon,21277,611,165,2169,3,0,5,14,437,0,0,21,0,18,0,201,0,520,349,1429,616,0
626,2012,Dhule Region,Dhule,16183,1498,420,2149,275,0,4,25,324,25,0,11,1,44,115,564,1,199,332,1140,386,12
627,2012,Dhule Region,Jalgaon,30682,5475,933,2333,849,0,0,27,1318,0,25,32,8,46,0,201,4,99,1087,1606,454,27
628,2012,Dhule Region,Nandurbar,7731,0,1780,916,93,32,0,208,0,2,0,2,0,7,0,56,4,9,638,1023,252,15
629,2012,Aurangabad Region,Aurangabad,68847,2644,16,3171,1383,0,0,0,943,646,125,127,286,41,0,849,66,1691,2962,1143,468,0
630,2012,Aurangabad Region,Jalna,14770,531,865,928,451,0,0,0,225,0,0,9,2,8,0,96,3,65,568,921,138,27
631,2012,Aurangabad Region,Beed,8902,693,432,585,697,0,0,0,210,0,0,0,0,0,0,179,0,585,866,529,178,0
632,2012,Latur Region,Latur,15039,4074,2721,2134,1026,0,0,52,224,58,30,46,0,13,0,206,9,721,329,485,97,48
633,2012,Latur Region,Osmanabad,11238,1211,196,818,406,0,0,119,146,0,3,10,1,6,0,140,0,452,104,1184,124,35
634,2012,Latur Region,Ambejogai,6681,847,138,398,404,0,0,0,17,0,0,7,1,5,7,56,4,23,253,475,70,29
635,2012,Nanded Region,Nanded,49720,1423,2072,2611,211,0,0,184,2054,0,0,67,0,44,0,898,9,642,1075,470,333,58
636,2012,Nanded Region,Parbhani,14881,204,352,705,908,0,0,6,1219,0,7,5,0,11,13,116,11,16,679,787,176,31
637,2012,Nanded Region,Hingoli,8834,489,25,516,272,0,9,0,194,0,27,0,0,5,0,22,0,236,47,370,55,5
638,2012,Amrawati Region,Amrawati,31264,4499,416,2466,312,11,41,19,330,0,32,35,20,40,0,284,4,824,140,1511,146,20
639,2012,Amrawati Region,Buldhana,19316,1223,581,977,489,0,0,71,886,0,0,14,2,4,0,159,0,141,665,1508,391,3
640,2012,Amrawati Region,Yawatmal,16452,5006,714,1886,577,0,72,6,420,0,33,28,13,1,0,195,0,874,144,908,132,2
641,2012,Amrawati Region,Akola,16680,6626,205,1628,135,0,10,15,778,0,7,7,0,8,0,112,33,786,101,937,195,48
642,2012,Amrawati Region,Washim,8963,1442,239,422,352,0,0,1,597,0,4,12,0,9,1,37,5,362,58,1209,151,0
643,2012,Nagpur(U) Region,Nagpur,21988,8573,0,5955,1420,0,0,138,397,0,29,34,0,30,0,131,31,773,313,32,15,6
644,2012,Nagpur(U) Region,Wardha,14691,0,7023,884,319,0,0,2,10,0,1,16,13,4,10,78,2,567,218,556,61,62
645,2012,Nagpur(U) Region,Nagpur(East),24516,637,0,3177,0,0,0,67,391,0,2,59,7,18,0,126,2,715,257,12,0,0
646,2012,Nagpur(R) Region,Nagpur,28954,4373,180,2484,1526,0,0,86,581,513,31,129,85,25,213,1738,1,1443,90,925,294,159
647,2012,Nagpur(R) Region,Gadchiroli,6586,1628,4,500,169,0,0,23,2,0,5,3,0,11,0,24,0,241,3,496,138,13
648,2012,Nagpur(R) Region,Chandrapur,19245,3754,4044,2267,478,0,0,48,56,0,24,24,1,37,83,593,14,971,72,802,170,81
649,2012,Nagpur(R) Region,Gondia,12883,1033,434,648,319,0,0,4,0,2,30,33,1,10,0,189,5,239,24,399,110,21
650,2012,Nagpur(R) Region,Bhandara,10417,2117,0,861,196,0,0,7,52,0,1,20,0,13,1,101,2,216,73,468,240,10
651,2013,Greater Mumbai,Mumbai(C),15013,14012,20,14168,7,0,4058,554,0,0,0,0,0,0,0,0,0,310,205,0,0,14
652,2013,Greater Mumbai,Mumbai(W),30330,13929,23,28839,2,0,919,902,7624,0,3,241,13,40,0,210,5,364,873,0,0,0
653,2013,Greater Mumbai,Mumbai€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,2013,Greater Mumbai,Borivali,18750,10237,79,11185,47,0,696,473,7479,0,30,90,2,17,0,21,0,156,479,0,0,5
655,2013,Thane Region,Thane,48805,10175,48,19759,1742,0,0,2297,4568,0,1034,82,94,13,1507,8846,2480,1936,210,43,747,178
656,2013,Thane Region,Kalyan,44469,0,0,8745,2,0,23,177,2204,1320,134,97,2,24,7,219,32,328,1273,48,15,27
657,2013,Thane Region,Vashi Navi Mumbai,16662,0,0,8388,0,0,0,439,1663,1,161,99,10,16,3,843,157,215,1022,0,233,15
658,2013,Thane Region,Vasai,26439,8551,104,8378,38,11,0,273,755,9,55,41,1,26,32,257,163,1642,534,9,16,94
659,2013,Panvel Region,Panvel,25574,0,0,13577,0,0,0,445,172,0,115,165,29,21,908,837,201,695,803,51,23,184
660,2013,Panvel Region,Pen-Raigad,16035,0,0,2989,510,0,0,177,181,68,62,135,33,10,7,156,17,1035,74,97,2,109
661,2013,Panvel Region,Ratnagiri,8527,5159,0,1796,368,0,0,16,186,1,29,14,6,32,2,309,19,816,369,19,0,81
662,2013,Panvel Region,Sindhudurg,6922,4484,0,1211,216,0,4,6,269,50,14,7,1,6,0,141,1,652,29,6,2,18
663,2013,Kolhapur Region,Kolhapur,61613,6798,1075,7857,532,0,0,29,361,0,8,75,47,18,63,668,18,1519,591,4065,1599,368
664,2013,Kolhapur Region,Sangli,30535,6477,896,3555,1289,0,6,61,180,0,12,145,9,8,26,383,7,1768,213,2439,795,123
665,2013,Kolhapur Region,Satara,27222,4977,4003,3637,862,0,24,212,123,0,30,68,2,17,0,566,5,1691,291,2178,835,99
666,2013,Kolhapur Region,Karad,12194,626,4,1052,310,0,17,67,32,0,5,60,0,5,0,218,0,468,105,471,268,14
667,2013,Pune Region,Pune,86644,58762,388,41503,4,0,30,903,1928,0,574,0,88,25,218,1581,65,463,1814,1641,145,252
668,2013,Pune Region,Solapur,37394,7043,2088,3475,496,0,0,80,244,0,20,65,4,7,0,310,21,794,759,1645,308,54
669,2013,Pune Region,Pimpri-Chinchwad,69376,19060,1,21949,391,1,0,1677,444,595,667,46,6,372,3,633,46,2031,1574,1392,14,142
670,2013,Pune Region,Baramati,22728,452,0,3095,30,0,0,27,25,0,24,43,4,5,0,279,44,1084,218,1344,528,78
671,2013,Pune Region,Akluj,11824,0,0,1211,0,0,0,1,0,0,3,29,0,5,0,175,0,718,324,916,349,85
672,2013,Nashik Region,Nashik,59830,17079,404,12477,74,1,1,84,553,13,150,90,0,52,0,404,31,3325,593,6126,746,257
673,2013,Nashik Region,Ahmednagar,26053,7341,861,3011,467,0,0,95,7,0,10,39,6,22,28,248,23,1505,355,2208,0,111
674,2013,Nashik Region,Srirampur,39477,1412,198,3069,513,0,0,17,56,0,17,84,5,13,15,134,41,1073,657,2516,421,115
675,2013,Nashik Region,Malegaon,23232,682,2214,2296,16,0,1,9,255,0,0,21,0,18,0,141,4,582,320,3110,1394,13
676,2013,Dhule Region,Dhule,18985,2285,902,1714,467,1,2,79,330,0,7,19,1,8,298,347,115,102,563,1313,514,50
677,2013,Dhule Region,Jalgaon,33657,6100,5389,2099,859,0,5,21,1369,0,28,44,0,10,0,248,18,125,970,2118,650,16
678,2013,Dhule Region,Nandurbar,10599,3359,87,699,384,6,4,0,1,0,0,11,0,1,0,24,0,77,472,1157,400,91
679,2013,Aurangabad Region,Aurangabad,74806,2878,187,3304,1773,0,0,96,1043,526,202,112,305,49,0,948,80,1926,3420,1114,473,0
680,2013,Aurangabad Region,Jalna,18727,1632,547,925,399,0,0,0,272,0,0,33,3,1,0,111,0,127,721,1183,291,38
681,2013,Aurangabad Region,Beed,8934,593,374,597,661,0,0,0,240,0,0,0,0,0,0,221,57,589,787,461,98,0
682,2013,Latur Region,Latur,13487,1816,1830,1902,802,0,35,0,300,44,14,116,0,9,0,110,32,722,213,745,11,65
683,2013,Latur Region,Osmanabad,10215,1359,224,704,318,0,0,73,82,0,1,37,0,12,0,160,5,583,183,1387,183,22
684,2013,Latur Region,Ambejogai,7908,1130,615,636,282,0,0,23,0,0,6,20,0,6,0,71,5,260,102,214,0,31
685,2013,Nanded Region,Nanded,40196,242,865,1909,9,0,99,0,987,0,0,70,0,14,0,321,2,1086,1157,639,228,56
686,2013,Nanded Region,Parbhani,14343,190,222,647,470,0,0,27,883,0,5,9,0,2,0,112,3,11,694,980,115,30
687,2013,Nanded Region,Hingoli,5468,316,48,460,44,0,0,7,115,0,9,1,0,1,0,16,3,289,66,817,50,0
688,2013,Amrawati Region,Amrawati,34326,5768,414,2851,498,2,0,71,186,0,35,42,91,18,0,251,6,800,158,1938,929,22
689,2013,Amrawati Region,Buldhana,20110,1571,1072,1080,525,0,0,29,371,0,0,37,18,6,0,188,0,195,697,2280,605,33
690,2013,Amrawati Region,Yawatmal,16796,5598,885,1565,492,0,0,53,250,0,10,23,19,1,0,116,0,698,233,1017,385,4
691,2013,Amrawati Region,Akola,18688,7752,325,1637,88,0,0,31,916,6,7,27,1,15,0,81,28,699,134,1458,773,42
692,2013,Amrawati Region,Washim,10297,1782,295,524,322,0,0,3,508,0,3,12,2,5,0,38,0,277,62,1328,989,7
693,2013,Nagpur(U) Region,Nagpur,9207,6543,36,3607,734,0,9,59,605,0,15,237,0,21,0,74,1,316,150,14,5,0
694,2013,Nagpur(U) Region,Wardha,4299,0,1943,1052,143,0,0,9,16,0,14,98,0,6,24,48,3,459,224,758,98,64
695,2013,Nagpur(U) Region,Nagpur(East),26148,9202,9,3058,880,0,1,67,1312,0,21,386,3,38,21,206,13,881,574,0,4,0
696,2013,Nagpur(R) Region,Nagpur,27971,6864,103,3149,1146,0,0,78,126,370,57,369,35,36,89,977,6,1641,160,1289,318,126
697,2013,Nagpur(R) Region,Gadchiroli,7993,1789,3,540,185,0,0,24,0,0,4,10,0,9,0,48,0,278,7,552,229,5
698,2013,Nagpur(R) Region,Chandrapur,15131,5504,3692,1736,248,0,0,56,93,0,16,39,7,17,33,330,13,792,97,969,234,76
699,2013,Nagpur(R) Region,Gondia,13953,1331,430,645,256,0,0,7,0,0,2,38,5,7,0,196,5,270,36,591,273,22
700,2013,Nagpur(R) Region,Bhandara,10228,4948,119,733,217,0,0,7,47,0,10,36,0,4,0,126,4,329,93,793,300,11
701,2014,Greater Mumbai,Mumbai(C),13562,15802,78,14715,108,0,3569,880,0,0,140,0,0,0,0,0,0,910,34,0,0,17
702,2014,Greater Mumbai,Mumbai(W),38728,19664,49,31602,1035,53,535,325,9903,0,138,128,21,40,0,315,9,570,1384,0,0,0
703,2014,Greater Mumbai,Mumbai€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,2014,Greater Mumbai,Borivali,18729,13931,135,12788,107,0,874,1113,10793,0,16,85,1,22,0,32,0,707,601,0,0,3
705,2014,Thane Region,Thane,50256,15435,252,16156,3191,0,5,1420,5439,0,575,154,0,58,10,3005,239,3219,426,84,71,67
706,2014,Thane Region,Kalyan,51106,0,0,9934,0,0,120,220,8161,34,101,54,17,16,81,250,7,415,1460,49,13,56
707,2014,Thane Region,Vashi Navi Mumbai,18455,0,0,10799,0,0,0,1006,3469,43,265,101,15,39,364,1802,241,322,1648,0,0,25
708,2014,Thane Region,Vasai,32409,11221,105,8697,31,13,1,379,2250,5,155,40,4,31,0,897,48,2639,437,26,20,95
709,2014,Panvel Region,Panvel,26432,0,0,15096,1,0,0,790,2167,7,82,110,25,20,2994,2460,116,1500,535,15,0,104
710,2014,Panvel Region,Pen-Raigad,16022,0,0,3075,508,0,0,116,1125,0,40,90,12,19,31,323,48,1074,85,83,16,172
711,2014,Panvel Region,Ratnagiri,8768,5085,1285,1744,526,0,18,0,1558,9,30,10,15,10,1,303,8,694,494,22,6,30
712,2014,Panvel Region,Sindhudurg,7576,5525,0,1217,197,0,3,4,940,0,18,9,2,3,2,184,1,458,20,12,1,6
713,2014,Kolhapur Region,Kolhapur,63654,7292,272,8030,198,0,1,20,1035,0,78,79,14,8,26,422,33,1031,289,3741,2851,143
714,2014,Kolhapur Region,Sangli,27140,8748,0,3113,1088,0,3,40,961,0,4,86,12,5,0,404,14,1365,315,2278,1149,96
715,2014,Kolhapur Region,Satara,26712,6988,5210,3978,876,0,21,211,486,0,23,62,8,17,0,482,24,1539,190,1883,926,60
716,2014,Kolhapur Region,Karad,12826,241,0,1208,320,0,39,93,224,0,6,34,11,4,10,214,0,367,76,411,374,29
717,2014,Pune Region,Pune,145744,20280,175,45943,1,0,3,3207,4708,0,718,710,36,67,1319,1403,228,5327,1062,1675,627,363
718,2014,Pune Region,Solapur,38766,8171,2409,3914,300,0,0,67,1131,47,13,49,7,7,0,351,19,769,312,1997,786,53
719,2014,Pune Region,Pimpri-Chinchwad,64303,33297,44,23215,2113,0,0,2409,832,287,703,63,31,522,0,593,63,1546,1600,1593,10,519
720,2014,Pune Region,Baramati,21410,253,3,2707,5,0,0,26,254,0,21,46,0,6,0,286,11,885,442,1433,408,83
721,2014,Pune Region,Akluj,15667,103,85,1514,119,0,0,0,4,25,17,51,0,0,0,61,0,600,249,1089,392,5
722,2014,Nashik Region,Nashik,55921,21386,1192,12927,6,0,18,395,1589,11,125,231,0,36,0,448,54,1672,1064,6148,874,165
723,2014,Nashik Region,Ahmednagar,27726,9082,1166,3273,725,0,0,63,766,0,4,141,6,10,29,133,7,1335,215,1991,1,87
724,2014,Nashik Region,Srirampur,36679,2454,318,3379,375,0,0,34,52,0,64,48,0,5,0,134,28,652,526,2635,484,81
725,2014,Nashik Region,Malegaon,25925,144,1180,2108,0,0,7,12,149,0,1,20,2,3,0,47,0,449,370,2718,1154,61
726,2014,Dhule Region,Dhule,20938,3528,43,1776,395,0,0,36,485,0,0,22,0,4,211,234,54,92,587,938,430,25
727,2014,Dhule Region,Jalgaon,47061,7036,1077,2249,761,6,0,166,2536,0,32,117,8,0,0,334,4,312,1329,2568,1005,63
728,2014,Dhule Region,Nandurbar,8191,4602,210,857,382,0,4,0,0,0,1,0,0,1,0,10,0,55,115,772,225,1
729,2014,Aurangabad Region,Aurangabad,81220,3508,344,3648,2278,0,0,201,1144,296,184,71,251,19,0,1154,87,2079,3922,1113,489,10
730,2014,Aurangabad Region,Jalna,19294,2008,374,787,317,0,0,5,438,0,10,28,2,2,0,82,10,75,555,1296,150,21
731,2014,Aurangabad Region,Beed,10213,575,462,713,629,0,0,8,165,0,2,1,6,6,0,245,3,569,696,598,91,0
732,2014,Latur Region,Latur,23652,634,1007,1305,736,0,0,73,1162,0,4,64,0,7,33,97,20,389,209,891,173,64
733,2014,Latur Region,Osmanabad,11685,1416,20,840,336,0,0,67,164,0,3,28,1,0,0,269,1,356,171,1151,165,10
734,2014,Latur Region,Ambejogai,7514,778,229,413,249,0,0,2,6,0,1,5,2,0,15,36,21,65,98,392,78,10
735,2014,Nanded Region,Nanded,38050,184,151,2083,0,0,7,0,1534,0,1,52,0,0,0,296,5,405,393,596,330,18
736,2014,Nanded Region,Parbhani,13876,235,156,679,440,0,4,0,769,0,9,16,0,2,0,64,3,11,413,839,248,14
737,2014,Nanded Region,Hingoli,8142,679,64,297,159,0,0,0,210,0,0,0,10,1,0,2,3,177,31,560,189,3
738,2014,Amrawati Region,Amrawati,29966,9165,405,3079,178,0,0,75,740,0,31,137,0,20,0,146,1,461,213,926,702,28
739,2014,Amrawati Region,Buldhana,19411,1618,1225,1446,387,0,7,3,505,0,1,78,0,8,0,77,4,438,223,1885,697,10
740,2014,Amrawati Region,Yawatmal,18327,1647,4922,2028,384,0,0,35,746,0,19,61,0,8,0,65,3,470,199,797,280,13
741,2014,Amrawati Region,Akola,18575,6048,426,1818,85,0,0,17,1408,0,15,33,2,3,0,67,10,449,213,964,504,36
742,2014,Amrawati Region,Washim,6143,3592,1269,523,237,0,1,2,283,0,1,9,0,1,0,26,1,158,66,758,322,6
743,2014,Nagpur(U) Region,Nagpur,12883,0,0,3365,623,0,0,159,909,0,14,77,0,10,0,59,0,241,170,0,2,0
744,2014,Nagpur(U) Region,Wardha,7637,0,0,1160,116,5,0,10,109,0,3,78,0,9,61,52,1,296,203,609,77,13
745,2014,Nagpur(U) Region,Nagpur(East),30075,0,0,3159,1166,0,3,254,1837,0,21,177,4,17,22,85,11,695,846,30,6,0
746,2014,Nagpur(R) Region,Nagpur,31031,9501,90,3332,1410,0,0,129,67,134,88,269,21,25,117,1059,8,1604,137,1031,189,106
747,2014,Nagpur(R) Region,Gadchiroli,8510,2238,0,583,191,0,0,72,24,0,2,11,2,9,0,13,0,176,5,642,196,14
748,2014,Nagpur(R) Region,Chandrapur,17629,9311,688,1722,179,0,0,46,964,0,16,31,11,5,91,258,20,560,105,934,284,41
749,2014,Nagpur(R) Region,Gondia,13431,2434,628,637,328,0,0,19,30,0,19,37,0,3,0,70,0,191,36,491,465,13
750,2014,Nagpur(R) Region,Bhandara,11513,4033,218,883,111,0,0,3,42,0,13,35,0,2,0,124,4,257,97,950,362,27
751,2015,Greater Mumbai,Mumbai(C),14400,15197,55,13165,249,0,2064,2833,0,2,63,3,0,22,0,37,1,664,218,0,3,14
752,2015,Greater Mumbai,Mumbai(W),18568,15457,19,17687,116,34,342,9733,6338,0,88,82,13,26,0,202,6,365,886,0,0,0
753,2015,Greater Mumbai,Mumbai€,19476,18714,95,14036,25,0,106,2807,3075,0,71,9,5,17,0,0,0,1092,0,0,0,0
754,2015,Greater Mumbai,Borivali,21152,17311,88,11390,62,0,696,3987,6270,0,13,58,1,15,0,3,2,710,503,1,0,4
755,2015,Thane Region,Thane,51830,21400,209,16335,2953,10,3,3845,6612,0,1092,209,0,84,0,3553,493,3155,348,42,116,92
756,2015,Thane Region,Kalyan,61855,0,0,10635,0,0,324,847,2157,32,89,86,11,42,85,355,111,83,1871,50,5,75
757,2015,Thane Region,Vashi Navi Mumbai,24404,0,0,10805,0,0,203,1763,2445,44,334,143,11,18,364,2751,267,284,1866,0,0,9
758,2015,Thane Region,Vasai,38868,10315,53,8865,8,0,6,1332,2059,0,233,18,8,37,226,505,24,2798,113,30,1,50
759,2015,Panvel Region,Panvel,24955,6399,5,14293,18,0,56,1409,727,24,67,184,0,34,3032,2515,154,1912,191,2,0,246
760,2015,Panvel Region,Pen-Raigad,18267,0,0,2992,437,0,0,210,274,40,31,54,8,16,24,319,43,782,106,48,16,149
761,2015,Panvel Region,Ratnagiri,7133,3196,814,1540,445,0,0,33,401,0,49,24,4,17,0,208,7,464,465,21,2,25
762,2015,Panvel Region,Sindhudurg,7866,7091,0,1258,327,0,12,7,618,0,28,8,5,5,0,147,1,415,38,7,4,12
763,2015,Kolhapur Region,Kolhapur,59376,15347,3857,8695,82,11,0,93,429,0,133,75,25,11,3,545,26,1214,248,3346,2436,437
764,2015,Kolhapur Region,Sangli,20351,7433,742,3259,974,0,15,70,316,0,0,41,22,6,0,432,116,1019,243,1371,243,78
765,2015,Kolhapur Region,Satara,25393,8933,4900,4205,672,0,86,246,324,0,23,63,4,12,0,484,26,1274,221,1807,882,79
766,2015,Kolhapur Region,Karad,13265,49,0,1256,116,0,30,101,110,0,9,20,4,4,0,278,0,358,94,317,312,9
767,2015,Pune Region,Pune,103529,74233,395,46606,3,0,4,6271,3220,0,1966,584,15,33,1557,2981,24,4350,1379,1720,319,289
768,2015,Pune Region,Solapur,39875,8192,1311,3508,339,0,0,83,599,15,20,92,4,11,0,282,24,856,360,2101,552,42
769,2015,Pune Region,Pimpri-Chinchwad,63392,41096,0,25151,821,0,0,3507,563,775,682,147,69,95,6,562,58,2256,1434,1542,0,679
770,2015,Pune Region,Baramati,17247,518,75,2574,0,0,0,52,72,0,15,42,6,17,107,377,27,1007,169,1066,400,10
771,2015,Pune Region,Akluj,20230,323,17,1839,4,0,0,5,11,0,3,42,0,0,0,95,0,554,262,1332,287,2
772,2015,Nashik Region,Nashik,57354,25215,1872,13432,11,0,0,355,1255,0,207,87,0,47,1,594,52,950,1706,5155,1352,157
773,2015,Nashik Region,Ahmednagar,25326,10236,1042,3376,687,0,0,108,130,0,4,77,1,10,23,356,7,1258,200,2736,535,126
774,2015,Nashik Region,Srirampur,36019,3306,600,3288,6,0,0,103,110,0,25,67,0,17,0,180,36,1007,696,2421,815,90
775,2015,Nashik Region,Malegaon,24976,0,1687,2357,0,0,14,22,226,0,6,39,1,6,9,102,5,616,219,1995,992,75
776,2015,Dhule Region,Dhule,18809,4388,0,1704,344,0,0,66,309,0,27,18,0,5,588,342,53,88,464,705,250,13
777,2015,Dhule Region,Jalgaon,38314,8646,1585,2452,606,0,0,39,1300,0,30,50,0,5,0,299,1,59,1057,1715,596,37
778,2015,Dhule Region,Nandurbar,10340,4219,0,598,470,0,0,0,12,0,0,7,2,1,0,26,0,37,181,755,182,8
779,2015,Aurangabad Region,Aurangabad,63185,8255,95,7774,0,0,21,332,1650,189,198,65,44,15,0,671,20,1515,511,1308,659,118
780,2015,Aurangabad Region,Jalna,17850,2391,337,778,228,0,0,12,141,0,0,56,0,3,5,113,10,427,93,809,256,17
781,2015,Aurangabad Region,Beed,7540,3461,158,477,380,0,0,56,64,0,0,24,8,4,27,177,19,192,204,623,168,2
782,2015,Latur Region,Latur,22164,1048,1183,1425,766,0,0,142,272,0,23,58,12,8,0,187,19,472,161,419,105,44
783,2015,Latur Region,Osmanabad,10408,2188,0,753,217,0,0,119,39,0,0,25,0,3,0,190,1,274,109,636,2,29
784,2015,Latur Region,Ambejogai,6914,602,386,363,211,0,0,7,9,0,0,7,0,2,5,68,2,7,152,268,159,5
785,2015,Nanded Region,Nanded,30067,167,265,2254,0,0,0,3,292,0,8,45,0,6,0,431,28,355,351,522,195,10
786,2015,Nanded Region,Parbhani,12206,273,184,439,430,0,1,23,28,0,17,16,0,5,0,63,1,12,368,443,146,12
787,2015,Nanded Region,Hingoli,9643,816,96,476,119,0,0,4,122,0,8,19,9,2,0,46,1,188,62,442,215,14
788,2015,Amrawati Region,Amrawati,29877,12628,289,3096,138,0,6,69,565,1,32,94,0,15,0,189,0,468,372,642,809,50
789,2015,Amrawati Region,Buldhana,16114,7302,1762,1167,422,0,0,6,465,0,0,42,0,7,0,77,0,509,134,1370,729,0
790,2015,Amrawati Region,Yawatmal,22051,2694,4901,1739,553,0,55,19,230,0,35,53,0,16,0,161,0,433,377,577,311,9
791,2015,Amrawati Region,Akola,14922,7768,373,2441,77,0,0,16,587,0,11,26,1,1,0,99,1,450,223,510,454,31
792,2015,Amrawati Region,Washim,10568,2492,377,625,252,0,0,6,249,0,8,15,1,2,1,44,1,207,81,666,484,15
793,2015,Nagpur(U) Region,Nagpur,12654,0,0,3901,610,0,0,289,411,0,14,138,0,15,0,22,0,294,212,21,2,2
794,2015,Nagpur(U) Region,Wardha,14506,0,0,1280,100,0,0,13,30,0,9,87,0,8,58,22,3,222,267,466,67,24
795,2015,Nagpur(U) Region,Nagpur(East),29963,0,0,3597,1241,0,0,287,668,0,29,165,1,19,41,144,15,539,773,47,14,0
796,2015,Nagpur(R) Region,Nagpur,28319,12363,994,3535,1687,0,0,184,81,406,61,194,46,27,248,1482,14,1007,324,804,267,94
797,2015,Nagpur(R) Region,Gadchiroli,8413,2453,0,584,263,0,0,26,0,0,2,17,1,5,0,25,0,185,3,648,314,20
798,2015,Nagpur(R) Region,Chandrapur,20731,9930,621,1572,199,0,0,58,628,0,25,61,4,9,246,389,21,659,101,895,312,69
799,2015,Nagpur(R) Region,Gondia,12553,3441,1332,720,336,0,0,13,7,2,5,46,2,2,0,100,38,178,24,792,343,12
800,2015,Nagpur(R) Region,Bhandara,10114,5473,0,1092,181,0,0,3,7,0,3,26,1,3,0,123,4,225,20,784,479,24
801,2016,Greater Mumbai,Mumbai(C),22523,10404,70,12537,346,2,2877,6446,0,6,50,9,6,51,0,19,0,759,58,1,6,107
802,2016,Greater Mumbai,Mumbai(W),14544,13723,30,13918,5,0,263,6577,6084,0,21,27,29,25,6,64,0,661,310,0,0,0
803,2016,Greater Mumbai,Mumbai€,28610,9215,76,10185,22,0,343,6021,8173,0,21,46,30,24,0,53,3,719,506,0,11,0
804,2016,Greater Mumbai,Borivali,23704,20727,52,17466,25,0,1276,3644,5563,1,5,170,0,10,91,0,0,726,0,19,0,3
805,2016,Thane Region,Thane,53115,24819,228,16520,2393,0,1907,5185,3829,291,1839,86,3,84,92,4033,541,3866,432,64,201,129
806,2016,Thane Region,Kalyan,68114,0,0,12118,0,0,311,1719,5625,0,60,114,4,20,163,470,11,284,1568,55,8,60
807,2016,Thane Region,Vashi Navi Mumbai,22535,0,0,10343,2,0,2560,644,1944,109,158,36,13,14,28,1001,256,397,967,37,278,45
808,2016,Thane Region,Vasai,51546,6759,41,9766,6,3,558,1655,2360,106,309,22,811,55,706,1575,22,2348,342,87,33,79
809,2016,Panvel Region,Panvel,29891,3268,0,11475,2,0,1023,3648,1708,13,127,243,82,44,3125,3579,16,1357,260,112,7,578
810,2016,Panvel Region,Pen-Raigad,15537,3144,25,2773,225,60,63,268,464,54,106,51,6,12,46,263,32,591,169,38,5,247
811,2016,Panvel Region,Ratnagiri,14962,1191,384,1874,535,0,30,32,567,0,52,30,11,19,2,223,10,473,429,62,11,75
812,2016,Panvel Region,Sindhudurg,11020,3247,32,1299,298,0,30,8,380,4,25,10,1,10,0,210,6,351,69,70,5,140
813,2016,Kolhapur Region,Kolhapur,49712,20338,1162,10636,3,0,0,107,443,0,110,77,23,24,5,368,12,1307,196,1407,1502,210
814,2016,Kolhapur Region,Sangli,17516,7680,1,3757,1100,0,0,164,206,0,5,45,0,3,0,386,16,1079,200,1499,167,33
815,2016,Kolhapur Region,Satara,22579,8665,4721,4408,682,0,0,430,233,6,67,51,1,6,2,726,8,1270,252,1398,537,114
816,2016,Kolhapur Region,Karad,12197,20,0,1484,50,0,59,125,70,0,15,33,2,8,0,227,0,370,70,278,209,8
817,2016,Pune Region,Pune,109269,68794,406,49543,10,0,0,12617,4937,0,4921,113,10,28,3038,7188,37,4074,1869,1249,190,482
818,2016,Pune Region,Solapur,50221,3656,52,4367,6,0,0,196,770,0,56,81,1,19,0,436,100,1480,454,1812,386,52
819,2016,Pune Region,Pimpri-Chinchwad,54609,45796,27,23422,3516,0,0,3681,592,7,570,66,53,82,0,531,45,2294,1141,679,0,299
820,2016,Pune Region,Baramati,17015,536,80,3217,2,0,0,88,61,0,21,34,9,13,113,199,6,1099,93,850,209,20
821,2016,Pune Region,Akluj,20332,441,90,1652,0,0,21,52,5,0,10,40,0,1,0,165,0,895,285,1224,453,2
822,2016,Nashik Region,Nashik,53416,21203,1291,14750,9,0,0,362,733,0,165,184,0,21,11,839,2,2025,1009,4716,629,183
823,2016,Nashik Region,Ahmednagar,22800,10356,1136,3412,555,0,14,191,162,3,21,83,1,16,91,570,21,1495,220,1935,230,77
824,2016,Nashik Region,Srirampur,28735,2456,152,3148,6,0,9,77,70,0,22,56,0,9,0,223,45,1276,780,1763,281,122
